Portfolio,Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
Original,Market,0.00037459520514971566,0.733738833566394
Original,Sector_Basic_Materials,1.866679050100375e-05,0.03656359958788205
Original,Sector_Communication_Services,-1.2320341220153228e-05,-0.024132484003371542
Original,Sector_Consumer_Cyclical,-2.6232456365427276e-05,-0.05138285720303633
Original,Sector_Consumer_Defensive,-3.56566946320367e-05,-0.06984259587008643
Original,Sector_Energy,1.0872360552025463e-05,0.021296250031732408
Original,Sector_Financial_Services,-5.371457774607879e-05,-0.10521349734086194
Original,Sector_Healthcare,-2.7746476087549905e-05,-0.05434844525551228
Original,Sector_Industrials,4.844590148739393e-05,0.0948934710315521
Original,Sector_Real_Estate,-2.6113994690671297e-05,-0.05115082024724285
Original,Sector_Technology,0.00015960536777583876,0.3126272167204438
Original,Sector_Utilities,1.594265826564736e-05,0.031227702114095267
Original,Size,-3.990571806756443e-06,-0.007816537591777641
Original,Nonlinear_Size,7.539216276049043e-06,0.014767449450352894
Original,Momentum,1.0842208177985352e-05,0.021237189030808474
Original,Residual_Volatility,6.724889870000448e-06,0.013172386568868322
Original,Liquidity,-2.3424917549407143e-06,-0.00458835869835052
Original,Book_to_Price,-7.476559906927824e-07,-0.0014644721207806024
Original,Earnings_Yield,3.8541389417080465e-06,0.007549299544187786
Original,Leverage,3.768695449938685e-09,7.381936996229825e-06
Original,Dividend_Yield,2.072847284680158e-05,0.040601922499638295
Minimum_TE,Market,0.00020717254921543844,0.76041666019452
Minimum_TE,Sector_Basic_Materials,9.35892607148922e-06,0.03435147819168177
Minimum_TE,Sector_Communication_Services,-3.3515049408898646e-06,-0.012301534172496374
Minimum_TE,Sector_Consumer_Cyclical,-4.5434289745488255e-06,-0.01667643275975084
Minimum_TE,Sector_Consumer_Defensive,-4.552318569520257e-06,-0.016709061581205505
Minimum_TE,Sector_Energy,6.340912196941472e-06,0.023274006588444376
Minimum_TE,Sector_Financial_Services,-1.0464896736641586e-05,-0.03841088916409646
Minimum_TE,Sector_Healthcare,-8.76826745076851e-06,-0.03218349475283111
Minimum_TE,Sector_Industrials,2.540910278599032e-05,0.09326286302037838
Minimum_TE,Sector_Real_Estate,-4.411663085371197e-06,-0.01619279253928988
Minimum_TE,Sector_Technology,1.47695292719348e-05,0.054210831329447824
Minimum_TE,Sector_Utilities,4.965449749678017e-06,0.018225439274232286
Minimum_TE,Size,6.669050647589644e-06,0.024478422644858343
Minimum_TE,Nonlinear_Size,-5.336019920593428e-07,-0.001958559887453811
Minimum_TE,Momentum,2.4820409035201874e-06,0.00911020915400486
Minimum_TE,Residual_Volatility,3.1016056819665936e-06,0.01138429122416585
Minimum_TE,Liquidity,6.940420487811956e-08,0.0002547447230665395
Minimum_TE,Book_to_Price,6.839475799414862e-08,0.0002510395978891941
Minimum_TE,Earnings_Yield,-2.0838606113237712e-07,-0.0007648707960463947
Minimum_TE,Leverage,-2.7061632243185917e-09,-9.932839117781293e-06
Minimum_TE,Dividend_Yield,3.6556274937370032e-06,0.013417801056316807
MVO,Market,0.0003042480972101709,0.5959463465969798
MVO,Sector_Basic_Materials,2.5659279282859086e-05,0.05026014586499853
MVO,Sector_Communication_Services,-3.2971993301110295e-05,-0.06458393373038289
MVO,Sector_Consumer_Cyclical,-5.2901953242008474e-05,-0.1036217680620067
MVO,Sector_Consumer_Defensive,-5.874628261583268e-05,-0.11506935564127757
MVO,Sector_Energy,1.5333975581661575e-05,0.030035444134218974
MVO,Sector_Financial_Services,-8.360350861184291e-05,-0.16375847861260295
MVO,Sector_Healthcare,-3.0998508665289214e-05,-0.060718368194995445
MVO,Sector_Industrials,9.448630355018777e-05,0.18507516701177662
MVO,Sector_Real_Estate,-4.285948249225351e-05,-0.08395106573386923
MVO,Sector_Technology,0.00023521040529551372,0.46071867992859333
MVO,Sector_Utilities,2.421939860309544e-05,0.047439777755849885
MVO,Size,-3.4712498673441766e-06,-0.006799315083768607
MVO,Nonlinear_Size,5.621527243730348e-06,0.011011173624143528
MVO,Momentum,2.8342332486705683e-05,0.0555155797336717
MVO,Residual_Volatility,-7.864369664067614e-07,-0.0015404344061851817
MVO,Liquidity,8.871436519880022e-07,0.0017376937543959053
MVO,Book_to_Price,-2.0690799626824267e-06,-0.004052813003217646
MVO,Earnings_Yield,5.324277279692568e-06,0.010428934879780801
MVO,Leverage,2.7043424043806495e-07,0.0005297134117241945
MVO,Dividend_Yield,2.44157269719504e-05,0.04782433619754701
