Portfolio,Date,Portfolio Return,Historical Benchmark Return,Active Return vs S&P500
Original,2025-02-27,-0.029158215144274437,-0.01586451446090209,-0.013293700683372347
Original,2025-02-28,0.01735795499270485,0.015854114170776867,0.0015038408219279834
Original,2025-03-03,-0.02950372421552667,-0.017596775547904953,-0.011906948667621719
Original,2025-03-04,-0.013619501470104873,-0.012234773630190987,-0.0013847278399138855
Original,2025-03-05,0.01843793794537948,0.011159281084776262,0.0072786568606032186
Original,2025-03-06,-0.03947233966963677,-0.017819030128555013,-0.02165330954108176
Original,2025-03-07,0.01875539856854241,0.005520587189728143,0.013234811378814267
Original,2025-03-10,-0.028719266099602143,-0.026973068524487775,-0.0017461975751143673
Original,2025-03-11,-0.002298940302776509,-0.007567823658488071,0.005268883355711562
Original,2025-03-12,0.017849567794415568,0.004886873280486537,0.012962694513929032
Original,2025-03-13,-0.0029129309291493484,-0.013891022092047178,0.01097809116289783
Original,2025-03-14,0.03627956115803471,0.021265883307494793,0.01501367785053992
Original,2025-03-17,0.028848258891425487,0.006416099479689574,0.022432159411735913
Original,2025-03-18,-0.012783659918267234,-0.010653519220738983,-0.0021301406975282513
Original,2025-03-19,0.015068934780256284,0.010798516740105457,0.004270418040150827
Original,2025-03-20,-0.003261723488452351,-0.002184910374623983,-0.001076813113828368
Original,2025-03-21,-0.007915921830660862,0.0008246672635350283,-0.00874058909419589
Original,2025-03-24,0.026795972136892877,0.017646041682840563,0.009149930454052314
Original,2025-03-25,-0.003461917971368168,0.0015743198608773046,-0.005036237832245473
Original,2025-03-26,-0.025424258653463122,-0.01115698545004451,-0.014267273203418612
Original,2025-03-27,-0.020682162436839936,-0.0033069570393192693,-0.017375205397520667
Original,2025-03-28,-0.02217879045192577,-0.019737200328104554,-0.0024415901238212176
Original,2025-03-31,-0.0047480186355195785,0.0055384935154294546,-0.010286512150949032
Original,2025-04-01,0.007101200547708338,0.003781284246727745,0.003319916300980593
Original,2025-04-02,0.015955143552377496,0.006728125160880394,0.009227018391497102
Original,2025-04-03,-0.10048429372835603,-0.04839560075260485,-0.05208869297575118
Original,2025-04-04,-0.08923686653262454,-0.05974961641947041,-0.02948725011315413
Original,2025-04-07,0.0223953620550573,-0.0023314571311449095,0.02472681918620221
Original,2025-04-08,-0.024063034903541006,-0.015700528421156545,-0.008362506482384461
Original,2025-04-09,0.1396676474501073,0.09515390034057347,0.04451374710953382
Original,2025-04-10,-0.05991222121677293,-0.034607561069471604,-0.025304660147301324
Original,2025-04-11,0.02111308180234784,0.018092083408471682,0.003020998393876158
Original,2025-04-14,0.011596906058802915,0.007944646639420183,0.0036522594193827314
Original,2025-04-15,-0.00039031707120906295,-0.0017277195396940837,0.0013374024684850206
Original,2025-04-16,-0.021368667230923982,-0.022408428964001637,0.0010397617330776543
Original,2025-04-17,0.0038552778488919917,0.0013268381447011368,0.002528439704190855
Original,2025-04-21,-0.02530497117355999,-0.023567493895167213,-0.0017374772783927753
Original,2025-04-22,0.023791024596028162,0.02511728897677501,-0.0013262643807468479
Original,2025-04-23,0.03168666625428935,0.016661119264111734,0.015025546990177614
Original,2025-04-24,0.04770147229457248,0.02025908412793509,0.02744238816663739
Original,2025-04-25,0.0050934773959061186,0.007373144179245283,-0.002279666783339165
Original,2025-04-28,0.0024067227931938856,0.0006406996295162948,0.0017660231636775908
Original,2025-04-29,0.001359086157681544,0.0058023965634184105,-0.004443310405736867
Original,2025-04-30,0.0012367501812624174,0.0014799948928487794,-0.00024324471158636198
Original,2025-05-01,0.013520179647046682,0.006299088176460632,0.00722109147058605
Original,2025-05-02,0.03041338063464779,0.014726612825518126,0.015686767809129663
Original,2025-05-05,-0.0012070147548164866,-0.0063815906321273985,0.005174575877310912
Original,2025-05-06,-0.0010063526060371368,-0.007693287885062627,0.006686935279025491
Original,2025-05-07,0.004958738242166997,0.004346422539330819,0.0006123157028361786
Original,2025-05-08,0.017662563808222495,0.005799747126763233,0.011862816681459262
Original,2025-05-09,0.004856406591479496,-0.0007115188367108338,0.00556792542819033
