Portfolio,Ticker,Weight,Proxy Weight,Active Weight,Proxy TE Variance Contribution Daily,MCAR to TE,Proxy TE Contribution Daily,Proxy TE Variance Contribution Pct
Original,SNDK,0.04,0.0016040100250626277,0.03839598997493737,2.2115855388571685e-05,0.04133051660632701,0.0015869261012755145,0.12358276524659043
Original,WDC,0.04,0.0016040100250626277,0.03839598997493737,1.5863183744903485e-05,0.029645409037027223,0.001138264828188615,0.08864301553640004
Original,MU,0.04,0.007919799498746926,0.03208020050125308,1.5208179516596718e-05,0.02842132510902159,0.0009117618080087111,0.08498287070545724
Original,STX,0.04,0.0015037593984962136,0.038496240601503785,1.4013022036246826e-05,0.026187792866162803,0.0010081315749981476,0.07830436500302299
Original,TER,0.04,0.0009022556390977282,0.03909774436090227,1.391945275733085e-05,0.026012928879754336,0.001017046843418967,0.07778150255762369
Original,CIEN,0.04,0.0008020050125313138,0.03919799498746869,1.3495727430338786e-05,0.025221063208900996,0.0009886151092411322,0.07541373759015359
Original,APP,0.04,0.0020050125313282848,0.03799498746867171,1.3249782888616899e-05,0.0247614375336886,0.0009408105087987958,0.07403940654894943
Original,FIX,0.04,0.0009022556390977282,0.03909774436090227,1.293578518061568e-05,0.024174632851849377,0.0009451736152602768,0.07228479636751668
Original,LRCX,0.04,0.005012531328320812,0.03498746867167919,1.2610089335466246e-05,0.023565966476524987,0.00082451351381526,0.07046481733140436
Original,AMD,0.04,0.005513784461152883,0.03448621553884712,1.2293274620719776e-05,0.022973897320758843,0.0007922827747710319,0.06869446579711956
Original,MPWR,0.04,0.0009022556390977282,0.03909774436090227,1.201671054301784e-05,0.02245704929451971,0.0008780199724173123,0.06714903366755609
Original,CEG,0.04,0.0017042606516290422,0.03829573934837096,1.141032134056725e-05,0.021323818019425893,0.0008166113767840298,0.0637605482059789
Original,GEV,0.04,0.004010025062656669,0.03598997493734333,1.0973676693674724e-05,0.020507808486338562,0.0007380755134431617,0.06132059044965427
Original,INTC,0.04,0.0035087719298245983,0.0364912280701754,1.0484930708474782e-05,0.01959443101562042,0.0007150248510963234,0.05858949191003415
Original,ALB,0.04,0.0004010025062656569,0.03959899749373434,1.0101309900932285e-05,0.01887751340704983,0.0007475306060937026,0.05644582984635787
Original,FCX,0.04,0.0017042606516290422,0.03829573934837096,9.90400497808477e-06,0.01850878634463319,0.0007088076575087603,0.05534329559959926
Original,GLW,0.04,0.0020050125313282848,0.03799498746867171,9.294219631413755e-06,0.017369208292865645,0.000659942851428179,0.05193583258157843
Original,APH,0.04,0.003007518796992427,0.03699248120300758,8.69368381916063e-06,0.016246915940843494,0.0006010137325484971,0.04858005569644835
Original,KEYS,0.04,0.0009022556390977282,0.03909774436090227,7.142734042641961e-06,0.013348472522412195,0.0005218951662898003,0.03991339285329176
Original,CAT,0.04,0.00591478696741854,0.03408521303258146,7.114756171337767e-06,0.013296186962833738,0.0004532033651492202,0.039757053311332544
Original,AES,0.04,0.00020050125313282846,0.039799498746867175,6.177764511442915e-06,0.011545119745271545,0.00045948997883436636,0.03452117080494594
Original,NEM,0.04,0.002406015037593942,0.03759398496240606,6.003947420937369e-06,0.011220287175181799,0.00042181530733766213,0.03354988589127751
Original,HII,0.04,0.00030075187969924274,0.039699248120300755,4.103769447772327e-06,0.007669199690885012,0.00030446146141257797,0.022931745907158026
Original,FITB,0.04,0.0008020050125313138,0.03919799498746869,3.023923620658108e-06,0.005651163982762236,0.00022151429746967774,0.016897598413874677
Original,CHRW,0.04,0.0004010025062656569,0.03959899749373434,2.8580475490411476e-06,0.005341171734571838,0.0002115050461309149,0.01597068768587008
Minimum_TE,APH,0.09999999999999999,0.003007518796992427,0.09699248120300756,9.807412142610563e-06,0.01186859944720631,0.001151164908789184,0.14362978815401398
Minimum_TE,KEYS,0.1,0.0009022556390977282,0.09909774436090228,9.350971674145726e-06,0.011316230584459368,0.0011214129255877783,0.13694520644813363
Minimum_TE,AES,0.08898409521040018,0.00020050125313282846,0.08878359395726736,9.345832805661228e-06,0.01271014968727989,0.0011284527689715464,0.1368699475948248
Minimum_TE,CAT,0.1,0.00591478696741854,0.09408521303258147,8.876645623868726e-06,0.010742217193745,0.0010106837931157578,0.1299986899638084
Minimum_TE,HII,0.1,0.00030075187969924274,0.09969924812030076,8.783115830571136e-06,0.0106290305919292,0.0010597063582630166,0.12862894387767668
