Date,Portfolio,Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
2019-04-30,Original,Market,4.983556899613721e-05,0.6522688783810616
2019-04-30,Original,Sector_Basic_Materials,-3.464111585937626e-06,-0.04533974878307327
2019-04-30,Original,Sector_Communication_Services,5.550388422256684e-07,0.007264581710796185
2019-04-30,Original,Sector_Consumer_Cyclical,4.752159300088106e-08,0.0006219825877370556
2019-04-30,Original,Sector_Consumer_Defensive,-2.1484615424138365e-06,-0.02811996790131443
2019-04-30,Original,Sector_Energy,-3.6511396103232485e-06,-0.04778765019463921
2019-04-30,Original,Sector_Financial_Services,-1.2691724371857638e-05,-0.16611462430367419
2019-04-30,Original,Sector_Healthcare,3.664313690620377e-05,0.4796007809607996
2019-04-30,Original,Sector_Industrials,-1.1830561894942315e-05,-0.1548433677646959
2019-04-30,Original,Sector_Real_Estate,3.515802755651509e-06,0.04601630454376084
2019-04-30,Original,Sector_Technology,9.55984606878504e-06,0.12512328440085324
2019-04-30,Original,Sector_Utilities,-2.1443172235770894e-07,-0.0028065725314066997
2019-04-30,Original,Size,9.584490622102953e-07,0.012544584267548883
2019-04-30,Original,Nonlinear_Size,-3.09684070876777e-08,-0.0004053275313841275
2019-04-30,Original,Momentum,-3.792775946464212e-08,-0.0004964144610735027
2019-04-30,Original,Residual_Volatility,-1.9312678992100985e-07,-0.0025277246188736423
2019-04-30,Original,Liquidity,1.5415396005060877e-07,0.0020176318369717673
2019-04-30,Original,Book_to_Price,1.190753322950068e-07,0.0015585080095089612
2019-04-30,Original,Earnings_Yield,1.685929046904945e-08,0.00022066148146918473
2019-04-30,Original,Leverage,7.094992123730102e-07,0.00928622397193179
2019-04-30,Original,Dividend_Yield,3.933552122047981e-08,0.0005148398387706888
2019-04-30,Minimum_TE,Market,3.544724600163277e-05,0.7452936485840652
2019-04-30,Minimum_TE,Sector_Basic_Materials,5.707210776156375e-07,0.01199965701821787
2019-04-30,Minimum_TE,Sector_Communication_Services,-1.0558955418013965e-07,-0.00222006595614385
2019-04-30,Minimum_TE,Sector_Consumer_Cyclical,2.998834997582348e-07,0.00630518003217171
2019-04-30,Minimum_TE,Sector_Consumer_Defensive,8.21873375376524e-09,0.00017280242492752636
2019-04-30,Minimum_TE,Sector_Energy,1.23507801960712e-06,0.025968048504433103
2019-04-30,Minimum_TE,Sector_Financial_Services,1.4884184246195258e-06,0.03129463987846435
2019-04-30,Minimum_TE,Sector_Healthcare,-9.59927615644479e-07,-0.020182892487820406
2019-04-30,Minimum_TE,Sector_Industrials,1.0461461661336912e-06,0.021995674729543065
