Date,Original,Minimum_TE,MVO,S&P500 Index
2019-05-01,-0.015463467360036103,-0.011596496560522225,-0.01292088301229781,-0.007502130129708795
2019-05-02,0.011444917562014075,0.0077206186779959305,0.013044678461635694,-0.0021239991380873624
2019-05-03,0.0023226222668802244,0.004453347706518813,0.006654632565922383,0.00963832295922562
2019-05-06,0.006252567040337397,0.0015912158940632143,0.00988770404263917,-0.004471014787957861
2019-05-07,-0.01735822798922677,-0.015644474451124962,-0.016348023311749525,-0.016511677868827124
2019-05-08,0.002283405948204796,0.000893859651708111,0.004183020944295928,-0.0016053813214057522
2019-05-09,-0.0018247306565634426,0.0010893474876761092,-0.007269054948433771,-0.0030214418181440106
2019-05-10,0.006639950601873663,0.006182643095499653,0.007704813823705474,0.0037203210344445292
2019-05-13,-0.02398439694037297,-0.021480841924444955,-0.023113151087227134,-0.024130630943291487
2019-05-14,0.010780215787687624,0.011766870335423021,0.009484064247018783,0.008016017810211773
2019-05-15,0.004360738513085129,0.005025797395808279,0.004048446485297536,0.00583895766667486
2019-05-16,0.005496245086726378,0.0036738025095081547,0.005663635146784168,0.008895249319527565
2019-05-17,-0.0029733135668242993,-0.0047422709904695794,-0.003559237651364193,-0.005837319908772343
2019-05-20,-0.012676842918565549,-0.012940279404227432,-0.021810974305678375,-0.006749360908960611
2019-05-21,0.017255537748732706,0.013592439091744351,0.02130065115192256,0.008495790833841
2019-05-22,-0.005026089755044939,-0.0056874660258128965,-0.009769656259503908,-0.002824365652362215
2019-05-23,-0.016953286125000987,-0.013914850988623995,-0.013627329329685356,-0.011914139769699683
2019-05-24,0.0009624723423269982,-0.0009226304570811212,0.0015371329777457265,0.001353534780883292
2019-05-28,-0.004129503173482041,-0.0045872694750830455,-0.0053820103354888646,-0.008375618352052028
2019-05-29,-0.0073376301862169025,-0.0073194016412523625,-0.005005784121421711,-0.0069119572935958384
2019-05-30,0.012167906299102917,0.010229605749231385,0.01700710546326828,0.0020984398243635294
2019-05-31,-0.012124073735007023,-0.009380494946162096,-0.008423066457378585,-0.013195355808466647
2019-06-03,-0.004389624948769711,-0.0010100811730580869,-0.00931774588715326,-0.0027652013400870645
2019-06-04,0.020255974981602025,0.01482247264353265,0.021526585505841887,0.021432345278653342
2019-06-05,0.01043170646538007,0.009231884861195713,0.006505416912714294,0.008161896642135735
2019-06-06,0.009200757948587686,0.006930591970900876,0.013106974366090767,0.006135555437609463
2019-06-07,0.005434734550288464,0.006083937130737479,0.007485624412052543,0.010497663083042452
2019-06-10,0.003244348463224152,0.00225242495437026,0.003122621693965183,0.0046600819951694294
2019-06-11,-0.0030088161710360244,-0.0009071104035641275,-0.001175003224964025,-0.00034987685027698667
2019-06-12,0.0036074709934894524,0.004420349192426552,0.004486949734550684,-0.002037619727485618
2019-06-13,0.004160874911334852,0.006741413503138508,0.0067213376161961175,0.004097449858325275
2019-06-14,-0.0023671872747228493,0.00034928047243159617,-0.0031999952600430493,-0.0016115422390061696
2019-06-17,-0.001325783374023257,-0.0017602694533276789,-0.0021361087286625056,0.0009317695307899942
2019-06-18,0.008308835710001553,0.008176520750968407,0.009039185862045083,0.009717372571954597
2019-06-19,0.00508343806538217,0.0063617745985540585,0.004584831934754867,0.002985176934281464
2019-06-20,0.008269749876270611,0.010344627593934978,0.008981096457583014,0.009472195075278522
2019-06-21,-0.0031137386173860507,-0.0037432955357687946,-0.004090440163322575,-0.0012592326804730103
2019-06-24,-0.0038142592577165508,-0.0028539974826562995,-0.0028098464494352134,-0.001731933325650914
2019-06-25,-0.010187039068819636,-0.007842146688147174,-0.008315951620872052,-0.009496324715228988
2019-06-26,-0.002953972910624264,-0.003167032666182393,-0.004595894231449348,-0.0012339839170762978
2019-06-27,0.005500549302441013,0.0037216348955567955,0.003138107890331213,0.003823212459416858
2019-06-28,0.007214870770157039,0.008336965895276185,0.008947364223885439,0.005757422425228809
2019-07-01,0.012115184735405255,0.009076521538383779,0.013363284059992531,0.007672277820080398
2019-07-02,0.006058973320046129,0.0077251091837672444,0.003893478900427717,0.0029281490252435205
2019-07-03,0.009384374764100725,0.01013431480048474,0.008311820812488725,0.007672358989710748
2019-07-05,-0.0016384244599427036,-0.0021612282906835,-0.0007980117273066823,-0.0018058494836139527
2019-07-08,-0.005114830741478116,-0.0064219850823426265,-0.0054277792597284165,-0.004835457345313876
2019-07-09,0.00025738197279217493,-0.0018515092576040033,-0.0005679447278067005,0.0012365799156572876
2019-07-10,0.006800793397623659,0.0070034657631433414,0.004725207597756406,0.004510627158405667
2019-07-11,0.002645384646399919,0.003608829458156725,0.0009652790912553402,0.002285278994477169
2019-07-12,0.003924009017113551,0.003652960819505402,0.004003669082562823,0.004620138604158219
2019-07-15,0.003682810339664302,0.001182133270051916,0.005225376971375538,0.00017585947169163063
2019-07-16,-0.007105416670857159,-0.005062135451329221,-0.006177584307072322,-0.0034037753375577573
2019-07-17,-0.005756429229598026,-0.006635783713468331,-0.006240713834519969,-0.006531204644412147
2019-07-18,0.0015270586191573374,0.003405437032614625,0.002063612058251086,0.0035819355184592006
2019-07-19,-0.006546908568574667,-0.005974427937526613,-0.0077869906369669555,-0.0061767347442999165
2019-07-22,-0.00012127384683010215,0.00031792576683115916,-0.0035803113123541977,0.0028287212634507952
2019-07-23,0.006911148370590948,0.006342047975129811,0.008827567052791772,0.006847502370160408
2019-07-24,0.00831576892650058,0.002237447277944097,0.012747390183299704,0.00468811866363672
2019-07-25,-0.003144541816181457,-0.0008204290947929798,-0.003393082162627396,-0.00526235610486292
2019-07-26,0.0018496720372921012,0.0015863140336171298,0.0018302682687089252,0.007387629133693174
2019-07-29,-0.0038696263236345837,-0.0022856079100960344,-0.003127165010827859,-0.00161606948107329
2019-07-30,-0.0002265529560772204,-0.0002075610160956599,-0.002673209864391305,-0.002578641959370631
2019-07-31,-0.019106938750957803,-0.01503635311429979,-0.01908248021387417,-0.010885509660889747
2019-08-01,-0.00806015972207859,-0.007406069688319041,-0.00769016067121957,-0.008998852495319398
2019-08-02,-0.008736702264255223,-0.00925481279650018,-0.010112233425089134,-0.0072827367651240316
2019-08-05,-0.028186741732830724,-0.02797951400977236,-0.033710690093969625,-0.02977780051499812
2019-08-06,0.017808723706659303,0.01808575400987344,0.020489250342720863,0.013017006826634425
