Portfolio,Total Variance Annualized,Systematic Variance Annualized,Idiosyncratic Variance Annualized,Factor Explained Ratio,Idiosyncratic Ratio
Original,0.12865339461303915,0.12321684099781867,0.00543655361522047,0.9577426337519315,0.04225736624806844
Minimum_TE,0.06865641579832751,0.06230090638976443,0.006355509408563088,0.9074302185067181,0.09256978149328195
MVO,0.12865339461307748,0.11481382222965224,0.013839572383425234,0.892427460425374,0.10757253957462586
