Portfolio,ActV_Systematic_Total_Daily,Factor_Attribution_Sum_Daily,Diff_FactorSumMinusTotal_Daily,Abs_Diff,ActV_Systematic_Total_AnnualizedVariance,Factor_Attribution_Sum_AnnualizedVariance
Original,8.526372094432771e-06,2.319196990503596e-05,1.466559781060319e-05,1.466559781060319e-05,0.0021486457677970584,0.005844376416069062
Minimum_TE,0.0001043618536928842,0.0007572259986992568,0.0006528641450063725,0.0006528641450063725,0.02629918713060682,0.19082095167221272
MVO,3.16767716299917e-05,0.0009794028466040855,0.0009477260749740939,0.0009477260749740939,0.007982546450757909,0.24680951734422957
