Date,Portfolio,Predicted Total Risk,Predicted Proxy Tracking Error,Systematic Risk,Idiosyncratic Risk,Proxy Active Systematic Risk,Proxy Active Idiosyncratic Risk,Proxy Benchmark Idiosyncratic Variance Daily,Turnover
2019-04-30,Original,0.13875755931447029,0.08224190366535833,0.13080039041146568,0.046313260899194915,0.06844121821565287,0.04560186802817912,7.170043605944315e-07,0.5
2019-04-30,Minimum_TE,0.10947824074605464,0.05440945536342601,0.09916064117958033,0.04639668563276495,0.029860683347526795,0.04548327629979378,7.170043605944315e-07,0.5
2019-04-30,MVO,0.1387575593145384,0.09005867482207328,0.12398739924615403,0.06229594766196627,0.06617115380171197,0.061089633451659506,7.170043605944315e-07,0.5
2019-05-31,Original,0.1295794011174973,0.06173228291755023,0.1217154801513926,0.04445405589465619,0.04230405492799789,0.044958221615866885,7.314619232485428e-07,0.5555555555555556
2019-05-31,Minimum_TE,0.11438681950343392,0.04685164594597696,0.10722547639582855,0.03983769179807966,0.023798824245304922,0.04035706496251017,7.314619232485428e-07,0.667315940544415
2019-05-31,MVO,0.12957940111866711,0.07387603283503848,0.11729025124103455,0.05508010673634736,0.04887820831456812,0.05539484614475762,7.314619232485428e-07,0.4809430096111644
2019-06-30,Original,0.14081974276347245,0.06059144158691515,0.13504330688675675,0.03991873265848731,0.04581359077962463,0.0396539744976168,7.420766466592819e-07,0.5555555555555556
2019-06-30,Minimum_TE,0.11972535903203493,0.04260132560816804,0.11467843077027123,0.03439504486721567,0.026226920220030925,0.033571142359849586,7.420766466592819e-07,0.6869487560661234
2019-06-30,MVO,0.1408197427634732,0.07692874669693042,0.1275638846638839,0.05964608353806711,0.048629355483685334,0.059608873950124625,7.420766466592819e-07,0.44714771341552534
2019-07-31,Original,0.12430129790074008,0.061527374972300646,0.11604006864033381,0.04455911949034844,0.04170932040567271,0.04523218392117521,7.724036060209653e-07,0.5789473684210527
2019-07-31,Minimum_TE,0.11389870157696774,0.05303977484020136,0.10639523020009949,0.04065672406364031,0.03317420629493727,0.04138465599470656,7.724036060209653e-07,0.6919376729974254
2019-07-31,MVO,0.12430129790082879,0.07104633128971227,0.11441955645927919,0.04856930882246943,0.05069852181452223,0.04977189041567503,7.724036060209653e-07,0.5911041657449001
2019-08-31,Original,0.1582222708269924,0.06513280080954617,0.15108224270150927,0.046994073306454,0.04484128303495774,0.047239190055237294,7.497198491516716e-07,0.5789473684210527
2019-08-31,Minimum_TE,0.13860846495207402,0.052306656032731866,0.13261442642886892,0.040320223949185205,0.03280427616729331,0.040741449783561666,7.497198491516716e-07,0.7236575551502888
2019-08-31,MVO,0.15822227082699414,0.08268378927806692,0.1446510255740551,0.0641121500655277,0.0516332042910545,0.06458034704163494,7.497198491516716e-07,0.5202980011339754
2019-09-30,Original,0.13164598999454832,0.0665313599010159,0.12491279841954256,0.04156271733950327,0.050856998454064266,0.04289507615708137,7.336829322357397e-07,0.6842105263157894
