Date,Portfolio,Ticker,Weight
2019-04-30,Original,QCOM,0.05555555555555555
2019-04-30,Original,AMD,0.05555555555555555
2019-04-30,Original,DHR,0.05555555555555555
2019-04-30,Original,AZO,0.05555555555555555
2019-04-30,Original,DRI,0.05555555555555555
2019-04-30,Original,FTNT,0.05555555555555555
2019-04-30,Original,VRSN,0.05555555555555555
2019-04-30,Original,CVX,0.05555555555555555
2019-04-30,Original,HCA,0.05555555555555555
2019-04-30,Original,HUM,0.05555555555555555
2019-04-30,Original,FIS,0.05555555555555555
2019-04-30,Original,CDNS,0.05555555555555555
2019-04-30,Original,ELV,0.05555555555555555
2019-04-30,Original,KEYS,0.05555555555555555
2019-04-30,Original,CNC,0.05555555555555555
2019-04-30,Original,UNH,0.05555555555555555
2019-04-30,Original,DIS,0.05555555555555555
2019-04-30,Original,ISRG,0.05555555555555555
2019-04-30,Minimum_TE,VRSN,0.1
2019-04-30,Minimum_TE,DIS,0.1
2019-04-30,Minimum_TE,CDNS,0.1
2019-04-30,Minimum_TE,FIS,0.1
2019-04-30,Minimum_TE,CVX,0.1
2019-04-30,Minimum_TE,DHR,0.09265633134933442
2019-04-30,Minimum_TE,AZO,0.0773222074826291
2019-04-30,Minimum_TE,DRI,0.07281821346100187
2019-04-30,Minimum_TE,QCOM,0.06339951528945516
2019-04-30,Minimum_TE,HCA,0.03626160315264625
2019-04-30,Minimum_TE,UNH,0.03523226019760724
2019-04-30,Minimum_TE,KEYS,0.033297692945082114
2019-04-30,Minimum_TE,ISRG,0.025521227079755283
2019-04-30,Minimum_TE,HUM,0.023961147655668955
2019-04-30,Minimum_TE,FTNT,0.01977795222566964
2019-04-30,Minimum_TE,AMD,0.01608276687361177
2019-04-30,Minimum_TE,ELV,0.003669082287538201
2019-04-30,Minimum_TE,CNC,2.666043372606888e-18
2019-04-30,MVO,FIS,0.10000000000000035
2019-04-30,MVO,DIS,0.10000000000000035
2019-04-30,MVO,UNH,0.10000000000000035
2019-04-30,MVO,CNC,0.10000000000000035
2019-04-30,MVO,KEYS,0.10000000000000035
2019-04-30,MVO,ELV,0.10000000000000035
2019-04-30,MVO,CDNS,0.10000000000000035
2019-04-30,MVO,QCOM,0.09999999999999938
2019-04-30,MVO,HUM,0.07738006289396601
2019-04-30,MVO,AZO,0.06732425757863597
2019-04-30,MVO,AMD,0.05173273281019904
2019-04-30,MVO,CVX,0.003562946717196775
2019-04-30,MVO,VRSN,3.8642535335791675e-16
2019-04-30,MVO,HCA,0.0
2019-04-30,MVO,FTNT,0.0
2019-04-30,MVO,DRI,0.0
2019-04-30,MVO,DHR,0.0
2019-04-30,MVO,ISRG,0.0
2019-05-31,Original,KEYS,0.05555555555555555
2019-05-31,Original,AMD,0.05555555555555555
2019-05-31,Original,CMCSA,0.05555555555555555
2019-05-31,Original,FRT,0.05555555555555555
2019-05-31,Original,O,0.05555555555555555
2019-05-31,Original,ALLE,0.05555555555555555
2019-05-31,Original,TGT,0.05555555555555555
2019-05-31,Original,ANET,0.05555555555555555
2019-05-31,Original,DIS,0.05555555555555555
2019-05-31,Original,OXY,0.05555555555555555
2019-05-31,Original,GPN,0.05555555555555555
2019-05-31,Original,CINF,0.05555555555555555
2019-05-31,Original,JCI,0.05555555555555555
2019-05-31,Original,AZO,0.05555555555555555
2019-05-31,Original,DRI,0.05555555555555555
2019-05-31,Original,CNC,0.05555555555555555
2019-05-31,Original,CDNS,0.05555555555555555
2019-05-31,Original,DHR,0.05555555555555555
2019-05-31,Minimum_TE,ALLE,0.1
2019-05-31,Minimum_TE,GPN,0.0972584716270777
2019-05-31,Minimum_TE,CMCSA,0.09064342318143592
2019-05-31,Minimum_TE,CDNS,0.089729816316637
2019-05-31,Minimum_TE,JCI,0.0895351442707889
2019-05-31,Minimum_TE,DHR,0.08613245423921095
2019-05-31,Minimum_TE,CINF,0.08327857221385805
2019-05-31,Minimum_TE,OXY,0.08143598489140201
2019-05-31,Minimum_TE,DIS,0.07026030562235228
2019-05-31,Minimum_TE,FRT,0.06602377448688954
2019-05-31,Minimum_TE,DRI,0.03764158142508119
2019-05-31,Minimum_TE,TGT,0.03106690741574754
2019-05-31,Minimum_TE,ANET,0.021907078762179635
2019-05-31,Minimum_TE,AZO,0.02019880415343442
2019-05-31,Minimum_TE,AMD,0.019571544830172143
2019-05-31,Minimum_TE,KEYS,0.012638330825257407
2019-05-31,Minimum_TE,CNC,0.0026778057384753253
2019-05-31,Minimum_TE,O,1.39664916830419e-19
2019-05-31,MVO,KEYS,0.10000000000000092
2019-05-31,MVO,CDNS,0.10000000000000092
2019-05-31,MVO,DRI,0.10000000000000092
2019-05-31,MVO,AZO,0.10000000000000092
2019-05-31,MVO,JCI,0.10000000000000091
2019-05-31,MVO,CINF,0.10000000000000087
2019-05-31,MVO,DIS,0.10000000000000074
2019-05-31,MVO,CNC,0.09999999999999955
2019-05-31,MVO,OXY,0.06688445017106016
2019-05-31,MVO,AMD,0.05285228658446981
2019-05-31,MVO,TGT,0.03465184810374468
2019-05-31,MVO,FRT,0.032999472732682514
2019-05-31,MVO,O,0.012611942408036668
2019-05-31,MVO,DHR,3.7254319128748386e-16
2019-05-31,MVO,ANET,1.8714443047779815e-17
2019-05-31,MVO,GPN,0.0
2019-05-31,MVO,ALLE,0.0
2019-05-31,MVO,CMCSA,0.0
2019-06-30,Original,AMCR,0.05555555555555555
2019-06-30,Original,AMD,0.05555555555555555
2019-06-30,Original,CSCO,0.05555555555555555
2019-06-30,Original,ROP,0.05555555555555555
2019-06-30,Original,MSFT,0.05555555555555555
2019-06-30,Original,APD,0.05555555555555555
2019-06-30,Original,CRM,0.05555555555555555
2019-06-30,Original,SNPS,0.05555555555555555
2019-06-30,Original,DHR,0.05555555555555555
2019-06-30,Original,AZO,0.05555555555555555
2019-06-30,Original,VRSN,0.05555555555555555
2019-06-30,Original,CMCSA,0.05555555555555555
2019-06-30,Original,CINF,0.05555555555555555
2019-06-30,Original,DIS,0.05555555555555555
2019-06-30,Original,IQV,0.05555555555555555
2019-06-30,Original,CDNS,0.05555555555555555
2019-06-30,Original,KEYS,0.05555555555555555
2019-06-30,Original,ECL,0.05555555555555555
2019-06-30,Minimum_TE,CSCO,0.10000000000000002
2019-06-30,Minimum_TE,ROP,0.10000000000000002
2019-06-30,Minimum_TE,MSFT,0.10000000000000002
2019-06-30,Minimum_TE,APD,0.09680565245591236
2019-06-30,Minimum_TE,DHR,0.07497295389414514
2019-06-30,Minimum_TE,CMCSA,0.07460923038278161
2019-06-30,Minimum_TE,ECL,0.06996827190041453
2019-06-30,Minimum_TE,CINF,0.06378884216646295
2019-06-30,Minimum_TE,DIS,0.06121415972424224
2019-06-30,Minimum_TE,VRSN,0.060125378827553914
2019-06-30,Minimum_TE,IQV,0.05652055330969026
2019-06-30,Minimum_TE,SNPS,0.05437853713213286
2019-06-30,Minimum_TE,AMCR,0.045470086649814875
2019-06-30,Minimum_TE,AZO,0.016037498781917056
2019-06-30,Minimum_TE,AMD,0.009168773901559304
2019-06-30,Minimum_TE,CDNS,0.007048273078119339
2019-06-30,Minimum_TE,KEYS,0.006211512004649088
2019-06-30,Minimum_TE,CRM,0.0036802757906045317
2019-06-30,MVO,AMCR,0.10000000000000131
2019-06-30,MVO,DIS,0.10000000000000131
2019-06-30,MVO,CMCSA,0.10000000000000131
2019-06-30,MVO,CINF,0.10000000000000131
2019-06-30,MVO,AZO,0.10000000000000131
2019-06-30,MVO,IQV,0.10000000000000131
2019-06-30,MVO,CDNS,0.10000000000000131
2019-06-30,MVO,KEYS,0.10000000000000131
2019-06-30,MVO,DHR,0.09026819013755083
2019-06-30,MVO,AMD,0.08405227493412615
2019-06-30,MVO,APD,0.02567953492831241
2019-06-30,MVO,VRSN,0.0
2019-06-30,MVO,SNPS,0.0
2019-06-30,MVO,CRM,0.0
2019-06-30,MVO,MSFT,0.0
2019-06-30,MVO,ROP,0.0
2019-06-30,MVO,CSCO,0.0
2019-06-30,MVO,ECL,0.0
2019-07-31,Original,AMCR,0.05263157894736842
2019-07-31,Original,GPN,0.05263157894736842
2019-07-31,Original,GRMN,0.05263157894736842
2019-07-31,Original,VMC,0.05263157894736842
2019-07-31,Original,DIS,0.05263157894736842
2019-07-31,Original,DHR,0.05263157894736842
2019-07-31,Original,CINF,0.05263157894736842
2019-07-31,Original,CMG,0.05263157894736842
2019-07-31,Original,RCL,0.05263157894736842
2019-07-31,Original,EW,0.05263157894736842
2019-07-31,Original,FIS,0.05263157894736842
2019-07-31,Original,VRSN,0.05263157894736842
2019-07-31,Original,KEYS,0.05263157894736842
2019-07-31,Original,AMD,0.05263157894736842
2019-07-31,Original,LHX,0.05263157894736842
2019-07-31,Original,FISV,0.05263157894736842
2019-07-31,Original,CDNS,0.05263157894736842
2019-07-31,Original,TMUS,0.05263157894736842
2019-07-31,Original,SBUX,0.05263157894736842
2019-07-31,Minimum_TE,CINF,0.09999999999999998
2019-07-31,Minimum_TE,DHR,0.09488300310702465
2019-07-31,Minimum_TE,VRSN,0.08927616523418089
2019-07-31,Minimum_TE,GPN,0.0769313849151354
2019-07-31,Minimum_TE,DIS,0.07320300775837078
2019-07-31,Minimum_TE,TMUS,0.06867506235885576
2019-07-31,Minimum_TE,SBUX,0.06690483192977091
2019-07-31,Minimum_TE,VMC,0.06535324818392191
2019-07-31,Minimum_TE,RCL,0.05609686152833318
2019-07-31,Minimum_TE,FIS,0.051571714312725794
2019-07-31,Minimum_TE,CDNS,0.04232307886144914
2019-07-31,Minimum_TE,GRMN,0.041392072341835374
2019-07-31,Minimum_TE,LHX,0.033535998257335824
2019-07-31,Minimum_TE,EW,0.030278317369485046
2019-07-31,Minimum_TE,KEYS,0.029327969710338596
2019-07-31,Minimum_TE,FISV,0.02885468991411038
2019-07-31,Minimum_TE,AMCR,0.02553243340584262
2019-07-31,Minimum_TE,AMD,0.023041902110859706
2019-07-31,Minimum_TE,CMG,0.0028182587004239625
2019-07-31,MVO,TMUS,0.1000000000000001
2019-07-31,MVO,LHX,0.1000000000000001
2019-07-31,MVO,VRSN,0.1000000000000001
2019-07-31,MVO,FIS,0.09999999999999923
2019-07-31,MVO,CDNS,0.0999999999999992
2019-07-31,MVO,FISV,0.09999999999999917
2019-07-31,MVO,CINF,0.09999999999999873
2019-07-31,MVO,AMCR,0.09999999999999455
2019-07-31,MVO,KEYS,0.08676213342167972
2019-07-31,MVO,GPN,0.06626256583418236
2019-07-31,MVO,EW,0.016973659555932035
2019-07-31,MVO,AMD,0.015534094083965156
2019-07-31,MVO,VMC,0.007867940354783338
2019-07-31,MVO,DIS,0.006599606749462503
2019-07-31,MVO,CMG,1.5581336004458848e-15
2019-07-31,MVO,RCL,9.698646514244159e-16
2019-07-31,MVO,SBUX,8.31490579465241e-16
