Date,Portfolio,Factor,Proxy Active Variance Contribution Daily,Proxy Active Variance Contribution Pct
2019-04-30,Original,Market,7.43833780319052e-07,0.027713420365427205
2019-04-30,Original,Sector_Basic_Materials,-2.2502853655684777e-06,-0.08384010773404092
2019-04-30,Original,Sector_Communication_Services,7.658084437120114e-08,0.002853214237041148
2019-04-30,Original,Sector_Consumer_Cyclical,2.500513854626366e-07,0.009316300686574274
2019-04-30,Original,Sector_Consumer_Defensive,-1.8182645952792316e-06,-0.06774407454704844
2019-04-30,Original,Sector_Energy,-2.3498735341760707e-06,-0.0875505183836641
2019-04-30,Original,Sector_Financial_Services,-8.724868278787805e-06,-0.3250671704360004
2019-04-30,Original,Sector_Healthcare,2.9913182595871806e-05,1.1144917395276073
2019-04-30,Original,Sector_Industrials,-8.370618580492575e-06,-0.3118686964449826
2019-04-30,Original,Sector_Real_Estate,2.4767937186573933e-06,0.09227925283812749
2019-04-30,Original,Sector_Technology,7.1031721943706664e-06,0.2646467559811174
2019-04-30,Original,Sector_Utilities,-5.568526753084652e-07,-0.020746963475921844
2019-04-30,Original,Size,1.3842661187823623e-06,0.05157435688250014
2019-04-30,Original,Nonlinear_Size,-4.051032286206417e-08,-0.0015093151673402226
2019-04-30,Original,Momentum,-5.683848045097969e-08,-0.002117662229583701
2019-04-30,Original,Residual_Volatility,-2.795778394319235e-07,-0.010416383866986302
2019-04-30,Original,Liquidity,1.2799131240578346e-08,0.00047686420510544036
2019-04-30,Original,Book_to_Price,1.6341556045537873e-07,0.00608846255840822
2019-04-30,Original,Earnings_Yield,2.754775652701264e-08,0.0010263617718868315
2019-04-30,Original,Leverage,8.164833696548478e-07,0.030420165692017474
2019-04-30,Original,Dividend_Yield,6.765984697249214e-08,0.002520839777140631
2019-04-30,Minimum_TE,Market,5.915316689207964e-08,0.005035351400774182
2019-04-30,Minimum_TE,Sector_Basic_Materials,8.699783810550376e-07,0.07405599885600188
2019-04-30,Minimum_TE,Sector_Communication_Services,-9.366915511625471e-08,-0.007973488761547949
2019-04-30,Minimum_TE,Sector_Consumer_Cyclical,4.073305181131157e-07,0.03467358389620856
2019-04-30,Minimum_TE,Sector_Consumer_Defensive,2.0179645190577702e-07,0.017177711695957696
2019-04-30,Minimum_TE,Sector_Energy,1.699797634617721e-06,0.14469349402915915
2019-04-30,Minimum_TE,Sector_Financial_Services,2.3564315567264507e-06,0.2005887691801629
2019-04-30,Minimum_TE,Sector_Healthcare,-2.528958745070569e-06,-0.21527496545914027
2019-04-30,Minimum_TE,Sector_Industrials,1.6088043929239065e-06,0.136947789596126
2019-04-30,Minimum_TE,Sector_Real_Estate,-5.216980074604689e-07,-0.04440899668888069
2019-04-30,Minimum_TE,Sector_Technology,-1.955174414875429e-06,-0.16643217507969185
2019-04-30,Minimum_TE,Sector_Utilities,4.12582443165967e-08,0.0035120648517784664
2019-04-30,Minimum_TE,Size,6.003425028797562e-07,0.05110352702392028
