Portfolio,Cumulative Return,Historical Benchmark Cumulative Return,Annualized Return,Historical Benchmark Annualized Return,Annualized Volatility,Historical Tracking Error vs S&P500,Sharpe Ratio,Information Ratio vs S&P500,Maximum Drawdown,Historical Benchmark Maximum Drawdown,Average Turnover
Original,3.062976282018953,1.3351245659118143,0.22845322761850984,0.13254636132370123,0.27998938701625337,0.15347777620733857,0.8755975157098257,0.6543677582531131,-0.33165463701828934,-0.33924959024260604,0.4673930872628179
Minimum_TE,2.3238485932536252,1.3351245659118143,0.1927791559978409,0.13254636132370123,0.237827553093507,0.1049831175414556,0.8607450968028989,0.5713470725243268,-0.3311363102160325,-0.33924959024260604,0.643628866261199
MVO,4.151025017902817,1.3351245659118143,0.2719877727526734,0.13254636132370123,0.2864456289405099,0.1739928637135393,0.9837353298746326,0.7877310540995165,-0.27993732411315075,-0.33924959024260604,0.5677221049465259
