Portfolio,Block,ActV_Block_Daily,ActV_Block_AnnualizedVariance
Original,Market,2.0515810593583894e-06,0.0005169984269583141
Original,Sector,1.5318349285071824e-05,0.0038602240198380997
Original,Style,5.822039560605747e-06,0.0014671539692726482
Minimum_TE,Market,4.08743674924399e-05,0.010300340608094856
Minimum_TE,Sector,0.0006973314460449021,0.17572752440331532
Minimum_TE,Style,1.9020185161915125e-05,0.004793086660802612
MVO,Market,1.1182919750009771e-05,0.0028180957770024624
MVO,Sector,0.0009260606146859256,0.23336727490085324
MVO,Style,4.2159312168150054e-05,0.010624146666373813
