Date,Portfolio Return,Historical Benchmark Return,Active Return vs S&P500
2025-02-27,-0.02052656411155633,-0.01586451446090209,-0.00466204965065424
2025-02-28,0.01998929791401515,0.015854114170776867,0.004135183743238284
2025-03-03,-0.01574939293099543,-0.017596775547904953,0.0018473826169095216
2025-03-04,-0.02393971174025261,-0.012234773630190987,-0.011704938110061625
2025-03-05,0.016247575707011096,0.011159281084776262,0.005088294622234833
2025-03-06,-0.03276959839740106,-0.017819030128555013,-0.014950568268846047
2025-03-07,0.02243336743591557,0.005520587189728143,0.016912780246187427
2025-03-10,-0.017943656155768654,-0.026973068524487775,0.009029412368719122
2025-03-11,0.002294313147932627,-0.007567823658488071,0.009862136806420698
2025-03-12,0.009045327869201526,0.004886873280486537,0.004158454588714989
2025-03-13,-0.007630322236444062,-0.013891022092047178,0.006260699855603116
2025-03-14,0.04155618817485461,0.021265883307494793,0.020290304867359818
2025-03-17,0.021119116753133712,0.006416099479689574,0.014703017273444138
2025-03-18,-0.004309234908085023,-0.010653519220738983,0.0063442843126539595
2025-03-19,0.01186455427602553,0.010798516740105457,0.0010660375359200728
2025-03-20,-0.004468423840016128,-0.002184910374623983,-0.002283513465392145
2025-03-21,-0.015724386556597404,0.0008246672635350283,-0.016549053820132432
2025-03-24,0.017440689071833236,0.017646041682840563,-0.000205352611007327
2025-03-25,-0.00996758412552371,0.0015743198608773046,-0.011541903986401014
2025-03-26,-0.015002608582991236,-0.01115698545004451,-0.003845623132946726
2025-03-27,-0.007217843633336532,-0.0033069570393192693,-0.003910886594017263
2025-03-28,-0.02321070237097456,-0.019737200328104554,-0.003473502042870006
2025-03-31,-0.0027756379760663836,0.0055384935154294546,-0.008314131491495838
2025-04-01,0.004556420887923202,0.003781284246727745,0.000775136641195457
2025-04-02,0.012666053919902017,0.006728125160880394,0.005937928759021624
2025-04-03,-0.11235152872788098,-0.04839560075260485,-0.06395592797527613
2025-04-04,-0.08810392289027849,-0.05974961641947041,-0.028354306470808083
2025-04-07,0.021550111088673902,-0.0023314571311449095,0.02388156821981881
2025-04-08,-0.0064724933866997176,-0.015700528421156545,0.009228035034456829
2025-04-09,0.11197654366524364,0.09515390034057347,0.016822643324670164
2025-04-10,-0.04838528937549967,-0.034607561069471604,-0.013777728306028067
2025-04-11,0.018927778498782324,0.018092083408471682,0.0008356950903106418
2025-04-14,0.0217167421642917,0.007944646639420183,0.013772095524871516
2025-04-15,-0.00042362272379939153,-0.0017277195396940837,0.0013040968158946921
2025-04-16,-0.011842162943652012,-0.022408428964001637,0.010566266020349624
2025-04-17,0.0051457121317199294,0.0013268381447011368,0.0038188739870187926
2025-04-21,-0.024809513004904644,-0.023567493895167213,-0.0012420191097374314
2025-04-22,0.018989251270112976,0.02511728897677501,-0.006128037706662034
2025-04-23,0.02052709631573862,0.016661119264111734,0.0038659770516268864
2025-04-24,0.04324237261004177,0.02025908412793509,0.02298328848210668
2025-04-25,0.007667673415750356,0.007373144179245283,0.00029452923650507244
2025-04-28,-0.0027160153366366916,0.0006406996295162948,-0.0033567149661529864
2025-04-29,-0.00021575247885453455,0.0058023965634184105,-0.006018149042272945
2025-04-30,0.016898856256201706,0.0014799948928487794,0.015418861363352927
2025-05-01,0.006601550953670171,0.006299088176460632,0.0003024627772095388
