horizon_days,confidence,threshold_return
1,0.95,-0.02583595283735395
1,0.99,-0.06068117013423508
5,0.95,-0.044673568011970914
5,0.99,-0.14077436090667575
10,0.95,-0.06472683728248814
10,0.99,-0.18011166851808078
21,0.95,-0.09999041395281354
21,0.99,-0.15719347260604952
