Date,Portfolio Return,Historical Benchmark Return,Active Return vs S&P500
2025-02-27,-0.016505152424626017,-0.01586451446090209,-0.0006406379637239265
2025-02-28,0.023450508864866874,0.015854114170776867,0.007596394694090007
2025-03-03,-0.027169401795416513,-0.017596775547904953,-0.00957262624751156
2025-03-04,-0.014517635505226506,-0.012234773630190987,-0.0022828618750355186
2025-03-05,0.023776949419952637,0.011159281084776262,0.012617668335176375
2025-03-06,-0.01778584905450965,-0.017819030128555013,3.318107404536377e-05
2025-03-07,0.018506854359907687,0.005520587189728143,0.012986267170179543
2025-03-10,-0.014772009147229658,-0.026973068524487775,0.012201059377258117
2025-03-11,-0.005998686332816269,-0.007567823658488071,0.001569137325671802
2025-03-12,0.00439544319588262,0.004886873280486537,-0.0004914300846039169
2025-03-13,0.0037995455260035316,-0.013891022092047178,0.01769056761805071
2025-03-14,0.021972204658838822,0.021265883307494793,0.0007063213513440296
2025-03-17,0.028005552568005847,0.006416099479689574,0.021589453088316272
2025-03-18,-0.006840438136492387,-0.010653519220738983,0.003813081084246596
2025-03-19,0.013379015366638082,0.010798516740105457,0.002580498626532625
2025-03-20,-0.005181025856153724,-0.002184910374623983,-0.002996115481529741
2025-03-21,-0.0012717720573408428,0.0008246672635350283,-0.0020964393208758713
2025-03-24,0.0194884835044946,0.017646041682840563,0.0018424418216540367
2025-03-25,-0.0008454346955303065,0.0015743198608773046,-0.002419754556407611
2025-03-26,-0.014772451285038471,-0.01115698545004451,-0.003615465834993961
2025-03-27,-0.007792154050836903,-0.0033069570393192693,-0.004485197011517634
2025-03-28,-0.015278444295763338,-0.019737200328104554,0.004458756032341216
2025-03-31,6.833259375524336e-05,0.0055384935154294546,-0.005470160921674211
2025-04-01,0.0009045409186233838,0.003781284246727745,-0.0028767433281043616
2025-04-02,0.013699061719606572,0.006728125160880394,0.006970936558726179
2025-04-03,-0.0736540262957366,-0.04839560075260485,-0.02525842554313175
2025-04-04,-0.07088999138446003,-0.05974961641947041,-0.011140374964989624
2025-04-07,0.005043365057728385,-0.0023314571311449095,0.007374822188873294
2025-04-08,-0.019089220452761575,-0.015700528421156545,-0.00338869203160503
2025-04-09,0.10447152850594144,0.09515390034057347,0.009317628165367964
2025-04-10,-0.038944413473855376,-0.034607561069471604,-0.004336852404383772
2025-04-11,0.022981611915637138,0.018092083408471682,0.004889528507165456
2025-04-14,0.011481764040024427,0.007944646639420183,0.0035371174006042436
2025-04-15,-0.003006625091340096,-0.0017277195396940837,-0.0012789055516460122
2025-04-16,-0.016789282082369007,-0.022408428964001637,0.00561914688163263
2025-04-17,0.0059211224730024966,0.0013268381447011368,0.00459428432830136
2025-04-21,-0.021432614959429292,-0.023567493895167213,0.002134878935737921
2025-04-22,0.01970286519486164,0.02511728897677501,-0.005414423781913369
2025-04-23,0.02177238428841496,0.016661119264111734,0.005111265024303226
2025-04-24,0.035236701719610936,0.02025908412793509,0.014977617591675846
2025-04-25,-0.004364422778016911,0.007373144179245283,-0.011737566957262194
2025-04-28,0.00454652961049154,0.0006406996295162948,0.003905829980975245
2025-04-29,0.003691148611718631,0.0058023965634184105,-0.0021112479516997794
2025-04-30,-0.00347299683859833,0.0014799948928487794,-0.00495299173144711
2025-05-01,0.006996974330290112,0.006299088176460632,0.0006978861538294795
2025-05-02,0.022574009963171583,0.014726612825518126,0.007847397137653457
2025-05-05,0.0005304265322245566,-0.0063815906321273985,0.006912017164351955
2025-05-06,-0.0015309600551361112,-0.007693287885062627,0.006162327829926516
2025-05-07,0.0002014738386960333,0.004346422539330819,-0.004144948700634785
2025-05-08,0.014801136013501371,0.005799747126763233,0.009001388886738139
2025-05-09,0.005867354820400789,-0.0007115188367108338,0.006578873657111623
2025-05-12,0.041272794932706976,0.03255882160670387,0.008713973326003106
2025-05-13,0.015137694143991251,0.007248224304822415,0.007889469839168836
2025-05-14,-0.004270427640032238,0.001024369112638146,-0.005294796752670384
2025-05-15,0.003059748695408212,0.004132315556174104,-0.0010725668607658922
2025-05-16,0.006118758416255571,0.0070053220166539365,-0.0008865636003983655
2025-05-19,-0.006078062895250223,0.000876077054501545,-0.006954139949751768
2025-05-20,-0.005207607577628066,-0.0038802065866255786,-0.0013274009910024878
2025-05-21,-0.0231178704669041,-0.016135114115741978,-0.006982756351162123
2025-05-22,-0.004677514717120715,-0.0004448543187653975,-0.0042326603983553176
2025-05-23,0.0015259018995242217,-0.006708307585916562,0.008234209485440784
