horizon_days,confidence,threshold_return
1,0.95,-0.02430374603446427
1,0.99,-0.035705210353108946
5,0.95,-0.045459302561422554
5,0.99,-0.07095375182095037
10,0.95,-0.0548731917967504
10,0.99,-0.09092778770480733
21,0.95,-0.05859480036173903
21,0.99,-0.11084287363526635
