horizon_days,confidence,threshold_return
1,0.95,-0.033058934017539704
1,0.99,-0.04857319930277542
5,0.95,-0.06179865374977806
5,0.99,-0.09648960554853028
10,0.95,-0.0745493879492119
10,0.99,-0.12360980247463861
21,0.95,-0.0794837057087392
21,0.99,-0.1505790007299575
