horizon_days,confidence,threshold_return
1,0.95,-0.029273912890547125
1,0.99,-0.05878511399321251
5,0.95,-0.05029535579574918
5,0.99,-0.12482436855706511
10,0.95,-0.06222349294005094
10,0.99,-0.1734667867868706
21,0.95,-0.0954354433820457
21,0.99,-0.15245434866512983
