Portfolio,Latest Rebalance Date,Eligible Universe Count,Selected Portfolio Count,Historical Volatility,Historical Tracking Error vs S&P500,Benchmark Weight Source,Benchmark Holdings Date,Benchmark Local Coverage Ratio,Predicted Total Risk,Predicted Proxy Tracking Error,Systematic Risk,Idiosyncratic Risk,Total Variance Annualized,Systematic Variance Annualized,Idiosyncratic Variance Annualized,Factor Explained Ratio,Idiosyncratic Ratio,Proxy Active Systematic Risk,Proxy Active Idiosyncratic Risk,MCAR Reconciliation Error,MCAR Mean Absolute Value,MCAR Max Absolute Value,Proxy Benchmark Idiosyncratic Variance Daily,Optimization Success,Optimization Message
Original,2026-02-28,502,25,0.3613843071508733,0.22776375595193105,IVV ETF holdings proxy,2026-02-27,1.0,0.3586828607740258,0.21236022990094103,0.35102256479864463,0.07373298864972498,0.12865339461303915,0.12321684099781867,0.00543655361522047,0.9577426337519316,0.042257366248068445,0.19840279999866964,0.07571787237019026,0.005235000797949384,0.019810084100209232,0.04133051660632701,3.500972665861708e-06,True,Equal-weight top 5% signal portfolio.
Minimum_TE,2026-02-28,502,25,0.2655820438509542,0.14450878848404072,IVV ETF holdings proxy,2026-02-27,1.0,0.2620236932003049,0.13117625369303593,0.24960149516732558,0.07972144886141425,0.06865641579832751,0.06230090638976443,0.006355509408563088,0.9074302185067181,0.09256978149328195,0.10144740078359102,0.08316029345302468,0.001971403513775196,0.0129744633553666,0.022469554637816965,3.500972665861708e-06,True,Optimization terminated successfully
MVO,2026-02-28,502,25,0.3722262956571535,0.2675464219742252,IVV ETF holdings proxy,2026-02-27,1.0,0.3586828607740792,0.2394876473575213,0.338841883818474,0.1176417119198171,0.12865339461307748,0.11481382222965224,0.013839572383425234,0.8924274604253741,0.10757253957462586,0.20783353028797122,0.1189939365046783,0.0031377479683451764,0.01595584380237386,0.04488788655533985,3.500972665861708e-06,True,Optimization terminated successfully
