horizon_days,confidence,threshold_return
1,0.95,-0.0233159332651528
1,0.99,-0.03815715840913329
5,0.95,-0.037793436227976755
5,0.99,-0.09981291675995131
10,0.95,-0.027979111027951784
10,0.99,-0.1253654304373753
21,0.95,-0.04506926493317616
21,0.99,-0.1029927265315819
