Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
Market,0.0003042480972101709,0.5959463465969798
Sector_Basic_Materials,2.5659279282859086e-05,0.05026014586499853
Sector_Communication_Services,-3.2971993301110295e-05,-0.06458393373038289
Sector_Consumer_Cyclical,-5.2901953242008474e-05,-0.1036217680620067
Sector_Consumer_Defensive,-5.874628261583268e-05,-0.11506935564127757
Sector_Energy,1.5333975581661575e-05,0.030035444134218974
Sector_Financial_Services,-8.360350861184291e-05,-0.16375847861260295
Sector_Healthcare,-3.0998508665289214e-05,-0.060718368194995445
Sector_Industrials,9.448630355018777e-05,0.18507516701177662
Sector_Real_Estate,-4.285948249225351e-05,-0.08395106573386923
Sector_Technology,0.00023521040529551372,0.46071867992859333
Sector_Utilities,2.421939860309544e-05,0.047439777755849885
Size,-3.4712498673441766e-06,-0.006799315083768607
Nonlinear_Size,5.621527243730348e-06,0.011011173624143528
Momentum,2.8342332486705683e-05,0.0555155797336717
Residual_Volatility,-7.864369664067614e-07,-0.0015404344061851817
Liquidity,8.871436519880022e-07,0.0017376937543959053
Book_to_Price,-2.0690799626824267e-06,-0.004052813003217646
Earnings_Yield,5.324277279692568e-06,0.010428934879780801
Leverage,2.7043424043806495e-07,0.0005297134117241945
Dividend_Yield,2.44157269719504e-05,0.04782433619754701
