horizon_days,confidence,threshold_return
1,0.95,-0.03294111850734462
1,0.99,-0.04892083146857941
5,0.95,-0.05810456417316136
5,0.99,-0.0938362886154168
10,0.95,-0.06568970887332197
10,0.99,-0.1162219981865378
21,0.95,-0.05856618142975824
21,0.99,-0.1317944256582836
